top - 21:30:59 up 1 day, 31 min,  1 user,  load average: 0.85, 0.72, 0.74
Tasks: 309 total,   1 running, 308 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.0 us,  3.0 sy,  0.0 ni, 92.1 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st
MiB Mem :   7327.8 total,    213.0 free,   4800.9 used,   2314.0 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2212.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  11823 amieo     20   0  964296  37928  17236 S   0.0   0.5   0:10.39 spotify
  11829 amieo     20   0   50.0g 161600  48128 S   0.0   2.2   0:41.42 spotify
  13681 amieo     20   0  332852   3612   1908 S   0.0   0.0   0:00.13 io.elem+
  13896 amieo     20   0   36.5g  22668   6776 S   0.0   0.3   0:03.09 code
  13897 amieo     20   0   36.5g 108940  27652 S   0.0   1.5   0:39.72 code
  13975 amieo     20   0 1617180 127488  12396 S   0.0   1.7   0:43.27 gopls
  14158 amieo     20   0   32.9g 245936 150160 S   0.0   3.3   3:22.92 chrome
  14164 amieo     20   0   46120     68      0 S   0.0   0.0   0:00.00 cat
  14165 amieo     20   0   46120     68      0 S   0.0   0.0   0:00.00 cat
  14167 amieo     20   0   32.0g   1464   1148 S   0.0   0.0   0:00.00 chrome_+
  14169 amieo     20   0   32.0g    532    268 S   0.0   0.0   0:00.00 chrome_+
  14175 amieo     20   0   32.3g  14524   3356 S   0.0   0.2   0:00.02 chrome
  14176 amieo     20   0   32.3g  13756   2652 S   0.0   0.2   0:00.02 chrome
  14177 amieo     20   0   32.0g   1244    856 S   0.0   0.0   0:00.00 nacl_he+
  14180 amieo     20   0   32.3g  14280   3052 S   0.0   0.2   0:00.16 chrome
  14204 amieo     20   0   32.8g 119676  55352 S   0.0   1.6   4:40.55 chrome
  14205 amieo     20   0   32.4g  74436  55048 S   0.0   1.0   0:52.48 chrome
  14217 amieo     20   0   32.4g  34756  21908 S   0.0   0.5   0:01.97 chrome
  14611 amieo     20   0   48908   3544   1788 S   0.0   0.0   0:00.10 bash
  16964 amieo     20   0   32.6g  17792   6132 S   0.0   0.2   0:00.71 chrome
  23257 root      20   0       0      0      0 I   0.0   0.0   0:10.32 kworker+
  24186 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  24227 root      20   0       0      0      0 I   0.0   0.0   0:04.79 kworker+
  24676 root      20   0       0      0      0 I   0.0   0.0   0:07.66 kworker+
  25152 amieo     20   0 1130.9g 176848 110684 S   0.0   2.4   4:17.30 chrome
  25736 root       0 -20       0      0      0 I   0.0   0.0   0:00.27 kworker+
  25800 root      20   0       0      0      0 I   0.0   0.0   0:04.46 kworker+
  28081 root      20   0  474704  73840  23020 S   0.0   1.0   0:01.71 fwupd
  28087 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  28088 root      20   0       0      0      0 I   0.0   0.0   0:01.23 kworker+
  28093 root      20   0       0      0      0 I   0.0   0.0   0:01.51 kworker+
  29326 root      20   0       0      0      0 I   0.0   0.0   0:00.68 kworker+
  29350 root      20   0       0      0      0 I   0.0   0.0   0:01.16 kworker+
  29362 root      20   0       0      0      0 I   0.0   0.0   0:00.75 kworker+
  29363 root      20   0       0      0      0 I   0.0   0.0   0:00.79 kworker+
  29364 root      20   0       0      0      0 I   0.0   0.0   0:00.58 kworker+
  29376 root      20   0       0      0      0 I   0.0   0.0   0:00.28 kworker+
  29395 root      20   0       0      0      0 I   0.0   0.0   0:01.02 kworker+
  29424 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
  30993 root      20   0  677000 203640  13268 S   0.0   2.7   0:01.37 flatpak+
  31305 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker+
  31309 root      20   0       0      0      0 I   0.0   0.0   0:00.29 kworker+
  31360 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  31692 amieo     20   0    2616    588    520 S   0.0   0.0   0:00.00 sh
  31693 amieo     20   0   47392   3304   3028 S   0.0   0.0   0:00.00 cpuUsag+
  31696 amieo     20   0   45976    576    508 S   0.0   0.0   0:00.00 sleep
  31698 amieo     20   0 1084856   4712   3980 S   0.0   0.1   0:00.00 monitor+
